Cluster,Server Number,Serial,Idrac MAC,NIC1 MAC,Rack,Position
bouillonnantes,1,7Z7CQK2,509A4CA866B6,246E966A46E0,5,1
bouillonnantes,2,7WTCQK2,509A4CA88E72,246E966AD048,5,2
bouillonnantes,3,7WTGQK2,509A4CA87092,246E966AD718,5,3
bouillonnantes,4,7WMGQK2,509A4CA88DC6,246E966AD708,5,4
bouillonnantes,5,7WT8QK2,509A4CA88D60,246E966AD328,5,5
bouillonnantes,6,7WPCQK2,509A4CA88C40,246E966AD6B0,5,6
bouillonnantes,7,7VM8QK2,509A4CA88320,246E966A4F78,5,7
bouillonnantes,8,7T9CQK2,509A4CA881F6,246E966AC9D0,5,8
bouillonnantes,9,7WR8QK2,509A4CA88E62,246E966AD700,5,9
bouillonnantes,10,7WQBQK2,509A4CA88E76,246E966AD1F8,5,10
bouillonnantes,11,7VL8QK2,509A4CA88324,246E966A4F00,5,11
bouillonnantes,12,7VK9QK2,509A4CA882DA,246E966A52B8,5,12
bouillonnantes,13,7Z6GQK2,509A4CA8689A,246E966A4978,4,1
bouillonnantes,14,7Z68QK2,509A4CA868D8,246E966A4678,4,2
bouillonnantes,15,7Z8DQK2,509A4CA87FFA,246E966A4650,4,3
bouillonnantes,16,7Z88QK2,509A4CA883C2,246E966A46C0,4,4
bouillonnantes,17,7Z7HQK2,509A4CA866B8,246E966A4748,4,5
bouillonnantes,18,7Z78QK2,509A4CA86526,246E966A5A58,4,6
bouillonnantes,19,7Z98QK2,509A4CA883C6,246E966A5960,4,7
bouillonnantes,20,7Z9GQK2,509A4CA88412,246E966A5010,4,8
bouillonnantes,21,7SRGQK2,509A4CA88218,246E966AC9E0,4,9
bouillonnantes,22,7WSCQK2,509A4CA87060,246E966AD320,4,10
bouillonnantes,23,7SPFQK2,509A4CA882A2,246E966A4EB8,4,11
bouillonnantes,24,7T9HQK2,509A4CA8813C,246E966ACFE8,4,12
bouillonnantes,25,7VMHQK2,509A4CA881D0,246E966A48B8,2,1
bouillonnantes,26,7VNHQK2,509A4CA8808A,246E966A4EE8,2,2
bouillonnantes,27,7SPHQK2,509A4CA88212,246E966AD9F8,2,3
bouillonnantes,28,7STDQK2,509A4CA88150,246E966ACAD0,2,4
bouillonnantes,29,7T7BQK2,509A4CA881BC,246E966AD820,2,5
bouillonnantes,30,7SPCQK2,509A4CA882A0,246E966A5188,2,6
bouillonnantes,31,7T68QK2,509A4CA881BE,246E966AD828,2,7
bouillonnantes,32,7SQBQK2,509A4CA882A8,246E966AD608,2,8
bouillonnantes,33,7SP8QK2,509A4CA88216,246E966A4E88,2,9
bouillonnantes,34,7T9FQK2,509A4CA88140,246E966AC948,2,10
bouillonnantes,35,7SQGQK2,509A4CA881E2,246E966AD120,2,11
bouillonnantes,36,7SN9QK2,509A4CA8820C,246E966A5660,2,12
bouillonnantes,37,7T8GQK2,509A4CA88220,246E966ACCD0,1,1
bouillonnantes,38,7T98QK2,509A4CA8821C,246E966AD788,1,2
bouillonnantes,39,7T6HQK2,509A4CA881DE,246E966AD118,1,3
bouillonnantes,40,7VNBQK2,509A4CA882B6,246E966A4F20,1,4
bouillonnantes,41,7SNCQK2,509A4CA8817A,246E966A4908,1,5
bouillonnantes,42,7VK8QK2,509A4CA8824E,246E966A4CE8,1,6
bouillonnantes,43,7WRGQK2,509A4CA87096,246E966AD080,1,7
bouillonnantes,44,7VKDQK2,509A4CA88328,246E966A6350,1,8
bouillonnantes,45,7Z9CQK2,509A4CA883AC,246E966A4740,1,9
bouillonnantes,46,7T8DQK2,509A4CA881FE,246E966AC9A8,1,10
bouillonnantes,47,7WSFQK2,509A4CA88D9C,246E966AD1E8,1,11
bouillonnantes,48,7T88QK2,509A4CA881A4,246E966ACF50,1,12
